// Français ; Anglais ; Chinois ; Espagnol ; Portugais
;;;;
;;;;
Changer de langue;Change language;更改语言;Cambiar idioma;Alterar idioma
gagne le jeu avec;wins the game with;与赢得比赛;gana el juego;ganha o jogo
points;points;分;puntos;pontos
Cette partie est déjà lancée;This game is already started;此游戏已经开始;Este juego ya está en marcha;Este jogo já foi lançado
Informations;Informations;信息;Informaciónes;Informações
Quitter;Quit;退出;Salir;Deixar
Voulez-vous vraiment quitter ?;Do you really want to quit ?;你真的要退出吗？;¿Quieres realmente salir ?;Você realmente deseja sair?
dit;says;说;dice;disse
Vous ne pouvez pas ecrire plus que;You can't write more than;你不能写超过;No se puede escribir más que;Não pode escrever mais de
caracteres;characters;字符;caracteres;impressãos
Accueil;Home;家;Menú;Início
Jouer;Play;玩;Juegar;Jogar
joueurs;players;玩家;jugadores;jogadores
Partie hors ligne;Play offline;离线玩;Juego desconectado;Jogo desligada
Partie en ligne;Play online;在线玩;Juego online;Jogo online
Règles du jeu;Game rules;游戏规则;Reglas del juego;Regras do jogo
Retour;Back;回归;Retorno;Retornar
Creer une salle;Create a game room;创建一个游戏室;Crear una sala de juego;Criar uma sala
Nouvelle partie;New game;新游戏;Nuevo juego;Nova jogo
Creer la salle;Create game room;创建游戏房间;Crear la sala de juego;Criar sala
Classique;Standard;标准;Clásico;Clássico
Duel;Duel;决斗;Duel;Duelo
Equipes;Team;团队;Equipos;Equipes
Challenge;Challenge;挑战;Desafío;Desafio
Votre nom;Your name;你的名字;Su nombre;Seu nome
Nom de la salle;Room name;室名;Nombre de la sala de juego;Nome da sala
Mode de jeu;Game mode;游戏模式;Modo de juego;Modo de jogo
Nombre de joueurs;Number of Players;玩家人数;Número de jugadores;Número de jogadores
Vous devez entrer votre nom;You have to put your name;您必须输入您的姓名;Debe introducir su nombre;Deve digitar o seu nome
Vous devez entrer un nom pour cette salle;You have to put a name for this room;你必须为这个房间输入名字;Debe introducir un nombre para este sala de juego;Deve digitar um nome para este sala
Impossible de creer la salle;Unable to create game room;无法创建游戏房间;No se puede crear la habitación sala de juego;Não é possível criar sala
C'est votre tour de jouer;It's your turn to play;轮到你玩;Es su turno;É sua vez
Votre tour est fini;Your turn is over;你的回合结束;Su turno ha terminado;Sua vez acabou
Vous pouvez rejouer;You can play again;您可以重新玩;Puedes jugar de nuevo;Você pode repetir
Chat;Chat;聊天;Chat;Chat
Rejoindre une salle;Join a game room;加入一间游戏室;Únete a una sala de juegos;Junte-se a uma sala
Creer une salle;Create a game room;创建一个游戏室;Crear una sala de juegos;Criar uma sala
Rejoindre;Join;加入;participar;Juntar
